gpu_type|op|batch_size|seq_len|tp|cp|latency(ms)|total_latency(ms)|hqo|hkv|d|batch|latency(us)
H100|attn|1024|128|1|1|0.003193359375|3.27|64|4|128|[128] * (1024)|3.193359375
H100|attn|1024|128|1|2|0.002373046875|2.43|64|4|128|[128] * (1024)|2.373046875
H100|attn|1024|128|1|4|0.0022265625|2.28|64|4|128|[128] * (1024)|2.2265625
H100|attn|1024|128|1|8|0.002158203125|2.21|64|4|128|[128] * (1024)|2.158203125
H100|attn|1024|128|2|1|0.001591796875|1.63|64|4|128|[128] * (1024)|1.591796875
H100|attn|1024|128|2|2|0.001220703125|1.25|64|4|128|[128] * (1024)|1.220703125
H100|attn|1024|128|2|4|0.0011328125|1.16|64|4|128|[128] * (1024)|1.1328125
H100|attn|1024|128|2|8|0.001103515625|1.13|64|4|128|[128] * (1024)|1.103515625
H100|attn|1024|128|4|1|0.000830078125|0.85|64|4|128|[128] * (1024)|0.830078125
H100|attn|1024|128|4|2|0.000634765625|0.65|64|4|128|[128] * (1024)|0.634765625
H100|attn|1024|128|4|4|0.000595703125|0.61|64|4|128|[128] * (1024)|0.595703125
H100|attn|1024|128|4|8|0.000576171875|0.59|64|4|128|[128] * (1024)|0.576171875
H100|attn|1024|128|8|1|0.00044921875|0.46|64|4|128|[128] * (1024)|0.44921875
H100|attn|1024|128|8|2|0.0003515625|0.36|64|4|128|[128] * (1024)|0.3515625
H100|attn|1024|128|8|4|0.000322265625|0.33|64|4|128|[128] * (1024)|0.322265625
H100|attn|1024|128|8|8|0.0003125|0.32|64|4|128|[128] * (1024)|0.3125
H100|attn|512|256|1|1|0.00771484375|3.95|64|4|128|[256] * (512)|7.71484375
H100|attn|512|256|1|2|0.00421875|2.16|64|4|128|[256] * (512)|4.21875
H100|attn|512|256|1|4|0.0034765625|1.78|64|4|128|[256] * (512)|3.4765625
H100|attn|512|256|1|8|0.00318359375|1.63|64|4|128|[256] * (512)|3.18359375
H100|attn|512|256|2|1|0.00384765625|1.97|64|4|128|[256] * (512)|3.84765625
H100|attn|512|256|2|2|0.00212890625|1.09|64|4|128|[256] * (512)|2.12890625
H100|attn|512|256|2|4|0.00181640625|0.93|64|4|128|[256] * (512)|1.81640625
H100|attn|512|256|2|8|0.001640625|0.84|64|4|128|[256] * (512)|1.640625
H100|attn|512|256|4|1|0.00197265625|1.01|64|4|128|[256] * (512)|1.97265625
H100|attn|512|256|4|2|0.00111328125|0.57|64|4|128|[256] * (512)|1.11328125
H100|attn|512|256|4|4|0.0009375|0.48|64|4|128|[256] * (512)|0.9375
H100|attn|512|256|4|8|0.00087890625|0.45|64|4|128|[256] * (512)|0.87890625
H100|attn|512|256|8|1|0.0010546875|0.54|64|4|128|[256] * (512)|1.0546875
H100|attn|512|256|8|2|0.000625|0.32|64|4|128|[256] * (512)|0.625
H100|attn|512|256|8|4|0.00052734375|0.27|64|4|128|[256] * (512)|0.52734375
H100|attn|512|256|8|8|0.00048828125|0.25|64|4|128|[256] * (512)|0.48828125
H100|attn|256|512|1|1|0.020390625|5.22|64|4|128|[512] * (256)|20.390625
H100|attn|256|512|1|2|0.0109765625|2.81|64|4|128|[512] * (256)|10.9765625
H100|attn|256|512|1|4|0.0060546875|1.55|64|4|128|[512] * (256)|6.0546875
H100|attn|256|512|1|8|0.0053125|1.36|64|4|128|[512] * (256)|5.3125
H100|attn|256|512|2|1|0.0102734375|2.63|64|4|128|[512] * (256)|10.2734375
H100|attn|256|512|2|2|0.005546875|1.42|64|4|128|[512] * (256)|5.546875
H100|attn|256|512|2|4|0.0030859375|0.79|64|4|128|[512] * (256)|3.0859375
H100|attn|256|512|2|8|0.002734375|0.7|64|4|128|[512] * (256)|2.734375
H100|attn|256|512|4|1|0.005234375|1.34|64|4|128|[512] * (256)|5.234375
H100|attn|256|512|4|2|0.0029296875|0.75|64|4|128|[512] * (256)|2.9296875
H100|attn|256|512|4|4|0.0016796875|0.43|64|4|128|[512] * (256)|1.6796875
H100|attn|256|512|4|8|0.001484375|0.38|64|4|128|[512] * (256)|1.484375
H100|attn|256|512|8|1|0.002734375|0.7|64|4|128|[512] * (256)|2.734375
H100|attn|256|512|8|2|0.0015625|0.4|64|4|128|[512] * (256)|1.5625
H100|attn|256|512|8|4|0.0009375|0.24|64|4|128|[512] * (256)|0.9375
H100|attn|256|512|8|8|0.000859375|0.22|64|4|128|[512] * (256)|0.859375
H100|attn|128|1024|1|1|0.062109375|7.95|64|4|128|[1024] * (128)|62.109375
H100|attn|128|1024|1|2|0.030546875|3.91|64|4|128|[1024] * (128)|30.546875
H100|attn|128|1024|1|4|0.015859375|2.03|64|4|128|[1024] * (128)|15.859374999999998
H100|attn|128|1024|1|8|0.008515625|1.09|64|4|128|[1024] * (128)|8.515625
H100|attn|128|1024|2|1|0.030234375|3.87|64|4|128|[1024] * (128)|30.234375
H100|attn|128|1024|2|2|0.015390625|1.97|64|4|128|[1024] * (128)|15.390625
H100|attn|128|1024|2|4|0.008125|1.04|64|4|128|[1024] * (128)|8.125
H100|attn|128|1024|2|8|0.004453125|0.57|64|4|128|[1024] * (128)|4.453125
H100|attn|128|1024|4|1|0.01515625|1.94|64|4|128|[1024] * (128)|15.15625
H100|attn|128|1024|4|2|0.00796875|1.02|64|4|128|[1024] * (128)|7.96875
H100|attn|128|1024|4|4|0.004375|0.56|64|4|128|[1024] * (128)|4.375
H100|attn|128|1024|4|8|0.002421875|0.31|64|4|128|[1024] * (128)|2.421875
H100|attn|128|1024|8|1|0.007890625|1.01|64|4|128|[1024] * (128)|7.890625
H100|attn|128|1024|8|2|0.004296875|0.55|64|4|128|[1024] * (128)|4.296875
H100|attn|128|1024|8|4|0.002421875|0.31|64|4|128|[1024] * (128)|2.421875
H100|attn|128|1024|8|8|0.00140625|0.18|64|4|128|[1024] * (128)|1.40625
H100|attn|64|2048|1|1|0.213125|13.64|64|4|128|[2048] * (64)|213.125
H100|attn|64|2048|1|2|0.10859375|6.95|64|4|128|[2048] * (64)|108.59375
H100|attn|64|2048|1|4|0.05328125|3.41|64|4|128|[2048] * (64)|53.28125
H100|attn|64|2048|1|8|0.02703125|1.73|64|4|128|[2048] * (64)|27.03125
H100|attn|64|2048|2|1|0.1034375|6.62|64|4|128|[2048] * (64)|103.4375
H100|attn|64|2048|2|2|0.0521875|3.34|64|4|128|[2048] * (64)|52.1875
H100|attn|64|2048|2|4|0.02671875|1.71|64|4|128|[2048] * (64)|26.71875
H100|attn|64|2048|2|8|0.01390625|0.89|64|4|128|[2048] * (64)|13.90625
H100|attn|64|2048|4|1|0.05203125|3.33|64|4|128|[2048] * (64)|52.03125
H100|attn|64|2048|4|2|0.026875|1.72|64|4|128|[2048] * (64)|26.875
H100|attn|64|2048|4|4|0.01390625|0.89|64|4|128|[2048] * (64)|13.90625
H100|attn|64|2048|4|8|0.00765625|0.49|64|4|128|[2048] * (64)|7.65625
H100|attn|64|2048|8|1|0.026875|1.72|64|4|128|[2048] * (64)|26.875
H100|attn|64|2048|8|2|0.0140625|0.9|64|4|128|[2048] * (64)|14.0625
H100|attn|64|2048|8|4|0.00765625|0.49|64|4|128|[2048] * (64)|7.65625
H100|attn|64|2048|8|8|0.004375|0.28|64|4|128|[2048] * (64)|4.375
H100|attn|32|4096|1|1|0.781875|25.02|64|4|128|[4096] * (32)|781.875
H100|attn|32|4096|1|2|0.3971875|12.71|64|4|128|[4096] * (32)|397.1875
H100|attn|32|4096|1|4|0.1934375|6.19|64|4|128|[4096] * (32)|193.4375
H100|attn|32|4096|1|8|0.0971875|3.11|64|4|128|[4096] * (32)|97.1875
H100|attn|32|4096|2|1|0.395|12.64|64|4|128|[4096] * (32)|395.0
