ctx_length	tp	cp	megatron.core.transformer.attention.forward.qkv_1	megatron.core.transformer.attention.forward.linear_proj_1	megatron.core.transformer.transformer_layer._forward_attention.self_attn_bda_1	megatron.core.transformer.transformer_layer._forward_mlp.mlp_1	megatron.core.transformer.transformer_layer._forward_mlp.mlp_bda_1
1024	1	1	1.31	0.64	0.09	5.69	0.09
1024	1	2	0.59	0.31	0.05	2.88	0.05
1024	1	4	0.31	0.16	0.03	1.36	0.03
1024	1	8	0.18	0.09	0.02	0.70	0.02
1024	2	1	0.63	0.81	0.10	3.43	0.10
1024	2	2	0.33	0.41	0.05	1.64	0.05
1024	2	4	0.18	0.23	0.03	0.85	0.03
1024	2	8	0.10	0.13	0.02	0.46	0.02
1024	4	1	0.37	0.80	0.10	2.08	0.10
1024	4	2	0.19	0.42	0.05	1.06	0.05
1024	4	4	0.11	0.22	0.03	0.57	0.03
1024	4	8	0.06	0.13	0.02	0.31	0.02
1024	8	1	0.23	0.69	0.10	1.43	0.10
1024	8	2	0.13	0.36	0.05	0.77	0.05
1024	8	4	0.07	0.22	0.03	0.43	0.03
1024	8	8	0.04	0.14	0.02	0.25	0.02
2048	1	1	2.63	1.45	0.19	12.15	0.18
2048	1	2	1.32	0.64	0.09	5.71	0.09
2048	1	4	0.59	0.31	0.05	2.91	0.05
2048	1	8	0.31	0.16	0.03	1.36	0.03
2048	2	1	1.40	1.65	0.19	7.16	0.19
2048	2	2	0.63	0.81	0.10	3.44	0.10
2048	2	4	0.33	0.43	0.05	1.65	0.05
2048	2	8	0.17	0.23	0.03	0.85	0.03
2048	4	1	0.71	1.59	0.19	4.49	0.19
2048	4	2	0.37	0.81	0.10	2.07	0.10
2048	4	4	0.19	0.42	0.05	1.07	0.05
2048	4	8	0.11	0.23	0.03	0.57	0.03
2048	8	1	0.44	1.25	0.19	2.68	0.19
2048	8	2	0.23	0.68	0.10	1.44	0.10
2048	8	4	0.13	0.34	0.05	0.73	0.05
2048	8	8	0.07	0.20	0.03	0.42	0.03
4096	1	1	5.20	2.47	0.37	24.47	0.37
4096	1	2	2.60	1.45	0.18	12.10	0.19
4096	1	4	1.34	0.63	0.09	5.78	0.09
4096	1	8	0.59	0.31	0.05	2.86	0.05
4096	2	1	2.79	3.01	0.37	14.12	0.37
4096	2	2	1.40	1.65	0.19	7.18	0.19
4096	2	4	0.63	0.80	0.10	3.43	0.10
4096	2	8	0.33	0.41	0.05	1.64	0.05
4096	4	1	1.56	3.01	0.37	7.91	0.37
4096	4	2	0.71	1.58	0.19	4.53	0.19
4096	4	4	0.37	0.81	0.10	2.08	0.10
4096	4	8	0.19	0.42	0.05	1.07	0.05
4096	8	1	0.86	2.44	0.37	5.33	0.37
4096	8	2	0.45	1.27	0.19	2.69	0.19
4096	8	4	0.23	0.68	0.10	1.36	0.10
4096	8	8	0.13	0.38	0.05	0.74	0.05
8192	1	1	10.25	4.94	0.73	44.89	0.73
8192	1	2	5.11	2.46	0.37	24.18	0.37
8192	1	4	2.64	1.47	0.18	12.48	0.19
8192	1	8	1.33	0.64	0.09	5.77	0.09
8192	2	1	5.54	5.88	0.74	26.35	0.74
8192	2	2	2.83	2.95	0.37	14.51	0.37
8192	2	4	1.41	1.64	0.19	7.23	0.19
8192	2	8	0.63	0.80	0.10	3.44	0.10
8192	4	1	3.05	5.94	0.74	15.70	0.74
8192	4	2	1.56	3.02	0.37	7.92	0.37
8192	4	4	0.71	1.58	0.19	4.52	0.19
8192	4	8	0.36	0.80	0.10	2.09	0.10
8192	8	1	1.88	4.79	0.74	10.51	0.74
8192	8	2	0.87	2.43	0.37	5.32	0.37
8192	8	4	0.45	1.32	0.19	2.69	0.19
8192	8	8	0.23	0.69	0.10	1.36	0.10
16384	1	2	10.25	4.98	0.74	45.57	0.73
16384	1	4	5.18	2.46	0.37	24.25	0.37
16384	1	8	2.61	1.45	0.18	12.19	0.19
16384	2	1	10.90	11.44	1.47	57.10	1.47
16384	2	2	5.45	5.85	0.74	26.30	0.73
16384	2	4	2.79	3.03	0.37	14.18	0.37
16384	2	8	1.41	1.64	0.19	7.22	0.19
16384	4	1	6.08	11.70	1.47	31.17	1.47
16384	4	2	3.06	5.94	0.74	15.70	0.74
16384	4	4	1.57	3.01	0.37	7.93	0.37
16384	4	8	0.71	1.68	0.19	4.56	0.19
16384	8	1	3.77	9.51	1.47	19.74	1.47
16384	8	2	1.85	4.84	0.74	10.48	0.74
16384	8	4	0.86	2.50	0.37	5.32	0.37
16384	8	8	0.44	1.27	0.19	2.69	0.19
32768	1	8	5.20	2.68	0.89	24.64	1.11
32768	2	4	5.55	6.02	1.77	28.84	1.77
32768	2	8	2.77	3.04	0.89	14.24	0.91
32768	4	4	3.14	5.97	1.77	17.68	1.84
32768	4	8	1.55	3.01	0.89	8.74	0.89
32768	8	4	1.90	5.20	1.77	10.88	1.77
32768	8	8	0.94	2.56	0.90	5.54	0.90
