L,cp,tp,duration_per_doc
64,1,1,0.028433154709637
64,2,1,0.020913362409919003
64,4,1,0.023158764000982
64,8,1,0.02544883005321
64,1,2,0.026838459633290002
64,2,2,0.019125525094568
64,4,2,0.020733874943107
64,8,2,0.023069234471768
64,1,4,0.025859856233000002
64,2,4,0.018352484423667003
64,4,4,0.020632384251803002
64,8,4,0.021060712402686
64,1,8,0.025500040594488002
64,2,8,0.017817264143377
64,4,8,0.019405629858374
64,8,8,0.021793411020189002
128,1,1,0.030414559412747004
128,2,1,0.026248328201472004
128,4,1,0.027148621808737002
128,8,1,0.027613252867013
128,1,2,0.026914918702095003
128,2,2,0.027072696574032003
128,4,2,0.025734209269285
128,8,2,0.025495453272014003
128,1,4,0.025360478274524003
128,2,4,0.023378221597522002
128,4,4,0.023297674953937003
128,8,4,0.019700565561652002
128,1,8,0.024097184464335
128,2,8,0.022778402920812003
128,4,8,0.022022703196853
128,8,8,0.022689499892294
256,1,1,0.036643093638122
256,2,1,0.026124293543398003
256,4,1,0.025369237456470004
256,8,1,0.026464575063437003
256,1,2,0.030150893703103
256,2,2,0.022876812517642002
256,4,2,0.022179962415248
256,8,2,0.024222612567245002
256,1,4,0.026970649976283
256,2,4,0.020704562496393002
256,4,4,0.021475325059145
256,8,4,0.021296293660998
256,1,8,0.025673062261193
256,2,8,0.019693687278777003
256,4,8,0.019260762445628
256,8,8,0.019539581239223003
512,1,1,0.061331799812614
512,2,1,0.041244725137948
512,4,1,0.037163775227963006
512,8,1,0.034977649897336004
512,1,2,0.037785162031650006
512,2,2,0.02655216269195
512,4,2,0.025205524917691003
512,8,2,0.025913825072348
512,1,4,0.031591999996453
512,2,4,0.022163925133645002
512,4,4,0.023150750063359003
512,8,4,0.024820137582719
512,1,8,0.028110249899327002
512,2,8,0.021064924821257002
512,4,8,0.021593462303280003
512,8,8,0.021744112391024
1024,1,1,0.13273965045809702
1024,2,1,0.08322129957377901
1024,4,1,0.063999049738049
1024,8,1,0.05952352527529001
1024,1,2,0.069108025729656
1024,2,2,0.046868250146508
1024,4,2,0.037748349830508
1024,8,2,0.036994499526917
1024,1,4,0.041798050329089
1024,2,4,0.030045274924486002
1024,4,4,0.02739974996075
1024,8,4,0.027144774887710003
1024,1,8,0.032965200208127
1024,2,8,0.025610124971717003
1024,4,8,0.023334774840623
1024,8,8,0.026045325025916003
2048,1,1,0.35504455119371403
2048,2,1,0.20605845078825902
2048,4,1,0.139154399186372
2048,8,1,0.111155499517917
2048,1,2,0.17996589988470002
2048,2,2,0.106475899368524
2048,4,2,0.07726770006120201
2048,8,2,0.06266995035111901
2048,1,4,0.09289379939436901
2048,2,4,0.059408400021493
2048,4,4,0.046132850088179
2048,8,4,0.04092730022966801
2048,1,8,0.052440200001001004
2048,2,8,0.038023950159549
2048,4,8,0.031746900081634
2048,8,8,0.030017600022256
4096,1,1,1.055082505941391
4096,2,1,0.5867049068212501
4096,4,1,0.36278770118951803
4096,8,1,0.25532119870185804
4096,1,2,0.542745795845985
4096,2,2,0.300468200445175
4096,4,2,0.18873120024800302
4096,8,2,0.13699389919638602
4096,1,4,0.27578440159559203
4096,2,4,0.15697900131344703
4096,4,4,0.103658300638198
4096,8,4,0.08234999924898101
4096,1,8,0.14685859903693202
4096,2,8,0.09819960035383701
4096,4,8,0.061455600149929006
4096,8,8,0.050135299749672006
8192,1,1,3.706722784042358
8192,2,1,1.894048798084259
8192,4,1,1.080595397949218
8192,8,1,0.684665194153785
8192,1,2,1.801148205995559
8192,2,2,0.965669003129005
8192,4,2,0.557634198665618
8192,8,2,0.35618200004100803
8192,1,4,0.9256393998861311
8192,2,4,0.503151997923851
8192,4,4,0.294819597899913
8192,8,4,0.19262400195002502
8192,1,8,0.4810786023736
8192,2,8,0.26900739818811403
8192,4,8,0.15908480063080702
8192,8,8,0.11734439916908701
16384,1,1,13.503299236297607
16384,2,1,6.85068724155426
16384,4,1,3.616536390781402
16384,8,1,2.103286814689636
16384,1,2,6.610420799255371
16384,2,2,3.437489211559295
16384,4,2,1.858418804407119
16384,8,2,1.084283596277237
16384,1,4,3.325919580459595
16384,2,4,1.7605800032615662
16384,4,4,0.9680643975734711
16384,8,4,0.5663791954517361
16384,1,8,1.7672876060009
16384,2,8,0.9373087942600251
16384,4,8,0.5163903921842571
16384,8,8,0.302187599241733
32768,1,1,51.89389514923096
32768,2,1,26.339692878723145
32768,4,1,13.501855993270874
32768,8,1,7.182445645332336
32768,1,2,26.233725547790527
32768,2,2,13.056384754180907
32768,4,2,6.713359951972961
32768,8,2,3.655189597606659
32768,1,4,12.860928821563721
32768,2,4,6.647884821891784
32768,4,4,3.463028812408447
32768,8,4,1.897883993387222
32768,1,8,6.600277543067932
32768,2,8,3.49456398487091
32768,4,8,1.8350671768188471
32768,8,8,0.9968704015016551
65536,1,1,206.2866439819336
65536,2,1,103.06362380981446
65536,4,1,51.68821144104004
65536,8,1,25.727873706817626
65536,1,2,103.64298057556152
65536,2,2,52.08407497406006
65536,4,2,25.991219234466552
65536,8,2,12.836408042907715
65536,1,4,52.47185173034668
65536,2,4,26.170854473114012
65536,4,4,12.950393533706665
65536,8,4,6.6143360376358045
65536,1,8,26.130219173431396
65536,2,8,13.395095920562744
65536,4,8,6.779188823699951
65536,8,8,3.408702409267425
