gpu_type,world_size,op,nelem,dtype,latency(ms),throughput(nelem_per_ms)
H100,4,allgather,32,fp16,0.12,273.3
H100,4,allgather,64,fp16,0.11,604.0
H100,4,allgather,128,fp16,0.11,1215.8
H100,4,allgather,256,fp16,0.10,2486.1
H100,4,allgather,512,fp16,0.10,4998.3
H100,4,allgather,1024,fp16,0.10,9805.1
H100,4,allgather,2048,fp16,0.10,20106.2
H100,4,allgather,4096,fp16,0.12,34226.4
H100,4,allgather,8192,fp16,0.11,72408.4
H100,4,allgather,16384,fp16,0.11,155438.9
H100,4,allgather,32768,fp16,0.12,270656.0
H100,4,allgather,65536,fp16,0.41,159035.8
H100,4,allgather,131072,fp16,0.63,208829.4
H100,4,allgather,262144,fp16,0.42,623250.2
H100,4,allgather,524288,fp16,0.51,1025217.4
H100,4,allgather,1048576,fp16,0.54,1925456.7
H100,4,allgather,2097152,fp16,0.68,3101282.9
H100,4,allgather,4194304,fp16,1.35,3117236.4
H100,4,allgather,8388608,fp16,0.92,9094485.8
H100,4,allgather,16777216,fp16,0.80,21070298.1
H100,4,allgather,33554432,fp16,3.09,10861154.1
H100,4,allgather,67108864,fp16,5.33,12593253.7
H100,4,allgather,134217728,fp16,3.30,40668409.5
H100,4,allgather,268435456,fp16,6.49,41345044.1
H100,4,allgather,536870912,fp16,11.85,45302406.3
H100,4,allgather,1073741824,fp16,23.12,46436509.5
H100,4,allgather,2147483648,fp16,107.77,19926068.7
H100,4,allgather,4294967296,fp16,282.06,15227142.8
H100,4,allgather,8589934592,fp16,701.06,12252737.2
