gpu_type,world_size,op,nelem,dtype,latency(ms),throughput(nelem_per_ms)
H100,8,allreduce,32,fp16,0.22,144.4
H100,8,allreduce,64,fp16,0.23,279.1
H100,8,allreduce,128,fp16,0.25,502.1
H100,8,allreduce,256,fp16,0.20,1276.8
H100,8,allreduce,512,fp16,0.16,3289.7
H100,8,allreduce,1024,fp16,0.11,9171.2
H100,8,allreduce,2048,fp16,0.08,25432.1
H100,8,allreduce,4096,fp16,0.05,75143.8
H100,8,allreduce,8192,fp16,0.05,165203.9
H100,8,allreduce,16384,fp16,0.05,346789.5
H100,8,allreduce,32768,fp16,0.05,709878.7
H100,8,allreduce,65536,fp16,0.05,1446225.5
H100,8,allreduce,131072,fp16,0.05,2749731.5
H100,8,allreduce,262144,fp16,0.71,371132.1
H100,8,allreduce,524288,fp16,0.54,979634.8
H100,8,allreduce,1048576,fp16,0.58,1810686.9
H100,8,allreduce,2097152,fp16,0.67,3133250.2
H100,8,allreduce,4194304,fp16,0.63,6687551.5
H100,8,allreduce,8388608,fp16,0.63,13260357.4
H100,8,allreduce,16777216,fp16,0.70,24013777.5
H100,8,allreduce,33554432,fp16,0.71,47063343.5
H100,8,allreduce,67108864,fp16,0.69,97174949.6
H100,8,allreduce,134217728,fp16,1.14,117433884.8
H100,8,allreduce,268435456,fp16,2.13,125889670.4
H100,8,allreduce,536870912,fp16,4.09,131165758.9
H100,8,allreduce,1073741824,fp16,8.07,133099166.8
H100,8,allreduce,2147483648,fp16,15.83,135693830.1
H100,8,allreduce,4294967296,fp16,31.45,136562367.1
H100,8,allreduce,8589934592,fp16,62.93,136491311.9
H100,8,allreduce,17179869184,fp16,125.28,137136516.6
