op,ngpu,dtype,size_bytes,count_elems,t_us_out,algbw_out_gbs,busbw_out_gbs,t_us_in,algbw_in_gbs,busbw_in_gbs
all_reduce,2,half,8388608,4194304,46.47,180.53,180.53,50.3,166.76,166.76
all_reduce,2,half,16777216,8388608,80.71,207.87,207.87,76.72,218.68,218.68
all_reduce,2,half,33554432,16777216,132.0,254.24,254.24,121.8,275.53,275.53
all_reduce,2,half,67108864,33554432,217.7,308.23,308.23,216.8,309.52,309.52
all_reduce,2,half,134217728,67108864,404.4,331.87,331.87,403.5,332.67,332.67
all_reduce,2,half,268435456,134217728,775.2,346.29,346.29,773.2,347.18,347.18
all_reduce,2,half,536870912,268435456,1510.4,355.45,355.45,1511.5,355.2,355.2
all_reduce,2,half,1073741824,536870912,2981.7,360.11,360.11,2981.3,360.16,360.16
all_reduce,2,half,2147483648,1073741824,5894.7,364.31,364.31,5906.5,363.58,363.58
all_reduce,2,half,4294967296,2147483648,11761.0,365.18,365.18,11742.0,365.78,365.78
all_reduce,2,half,8589934592,4294967296,23464.0,366.09,366.09,23471.0,365.99,365.99
all_reduce,4,half,8388608,4194304,75.37,111.3,166.95,69.39,120.89,181.34
all_reduce,4,half,16777216,8388608,102.2,164.19,246.28,103.1,162.72,244.08
all_reduce,4,half,33554432,16777216,164.3,204.24,306.35,167.8,200.0,300.01
all_reduce,4,half,67108864,33554432,302.2,222.1,333.15,301.6,222.52,333.78
all_reduce,4,half,134217728,67108864,574.6,233.59,350.39,573.8,233.91,350.87
all_reduce,4,half,268435456,134217728,1121.4,239.38,359.07,1121.5,239.36,359.04
all_reduce,4,half,536870912,268435456,2213.3,242.56,363.84,2212.4,242.67,364.0
all_reduce,4,half,1073741824,536870912,4396.1,244.25,366.37,4393.2,244.41,366.61
all_reduce,4,half,2147483648,1073741824,8760.7,245.13,367.69,8761.5,245.1,367.66
all_reduce,4,half,4294967296,2147483648,17499.0,245.44,368.16,17502.0,245.4,368.1
all_reduce,4,half,8589934592,4294967296,34959.0,245.71,368.57,34963.0,245.69,368.53
all_reduce,8,half,8388608,4194304,90.77,92.42,161.73,101.2,82.87,145.03
all_reduce,8,half,16777216,8388608,138.7,120.99,211.74,130.4,128.67,225.18
all_reduce,8,half,33554432,16777216,212.4,158.01,276.52,209.2,160.42,280.73
all_reduce,8,half,67108864,33554432,326.7,205.39,359.42,326.1,205.78,360.11
all_reduce,8,half,134217728,67108864,577.3,232.47,406.83,579.8,231.51,405.14
all_reduce,8,half,268435456,134217728,1085.6,247.28,432.74,1087.3,246.88,432.05
all_reduce,8,half,536870912,268435456,2105.0,255.05,446.33,2112.6,254.12,444.72
all_reduce,8,half,1073741824,536870912,4035.7,266.06,465.61,4030.5,266.4,466.21
all_reduce,8,half,2147483648,1073741824,7948.9,270.16,472.78,7947.1,270.22,472.89
all_reduce,8,half,4294967296,2147483648,15745.0,272.79,477.38,15769.0,272.37,476.64
all_reduce,8,half,8589934592,4294967296,31396.0,273.6,478.8,31429.0,273.31,478.3
all_gather,2,half,8388608,2097152,35.54,236.06,118.03,35.38,237.11,118.55
all_gather,2,half,16777216,4194304,48.39,346.74,173.37,51.15,328.03,164.02
all_gather,2,half,33554432,8388608,74.13,452.66,226.33,75.97,441.67,220.83
all_gather,2,half,67108864,16777216,122.4,548.22,274.11,120.2,558.24,279.12
all_gather,2,half,134217728,33554432,235.8,569.25,284.63,213.6,628.26,314.13
