gpu_type|op|total_len|batch_size|tp|cp|latency(ms)|hqo|hkv|d|batch
H100|attn|128|1|1|1|0.06|64|4|128|[128]
H100|attn|128|1|1|2|0.06|64|4|128|[128]
H100|attn|128|1|1|4|0.06|64|4|128|[128]
H100|attn|128|1|1|8|0.06|64|4|128|[128]
H100|attn|128|1|2|1|0.06|64|4|128|[128]
H100|attn|128|1|2|2|0.06|64|4|128|[128]
H100|attn|128|1|2|4|0.06|64|4|128|[128]
H100|attn|128|1|2|8|0.06|64|4|128|[128]
H100|attn|128|1|4|1|0.06|64|4|128|[128]
H100|attn|128|1|4|2|0.06|64|4|128|[128]
H100|attn|128|1|4|4|0.06|64|4|128|[128]
H100|attn|128|1|4|8|0.06|64|4|128|[128]
H100|attn|128|1|8|1|0.06|64|4|128|[128]
H100|attn|128|1|8|2|0.06|64|4|128|[128]
H100|attn|128|1|8|4|0.07|64|4|128|[128]
H100|attn|128|1|8|8|0.06|64|4|128|[128]
H100|attn|256|1|1|1|0.06|64|4|128|[256]
H100|attn|256|1|1|2|0.06|64|4|128|[256]
H100|attn|256|1|1|4|0.07|64|4|128|[256]
H100|attn|256|1|1|8|0.06|64|4|128|[256]
H100|attn|256|1|2|1|0.06|64|4|128|[256]
H100|attn|256|1|2|2|0.06|64|4|128|[256]
H100|attn|256|1|2|4|0.07|64|4|128|[256]
H100|attn|256|1|2|8|0.06|64|4|128|[256]
H100|attn|256|1|4|1|0.06|64|4|128|[256]
H100|attn|256|1|4|2|0.06|64|4|128|[256]
H100|attn|256|1|4|4|0.06|64|4|128|[256]
H100|attn|256|1|4|8|0.06|64|4|128|[256]
H100|attn|256|1|8|1|0.06|64|4|128|[256]
H100|attn|256|1|8|2|0.06|64|4|128|[256]
H100|attn|256|1|8|4|0.06|64|4|128|[256]
H100|attn|256|1|8|8|0.06|64|4|128|[256]
H100|attn|512|1|1|1|0.08|64|4|128|[512]
H100|attn|512|1|1|2|0.06|64|4|128|[512]
H100|attn|512|1|1|4|0.06|64|4|128|[512]
H100|attn|512|1|1|8|0.06|64|4|128|[512]
H100|attn|512|1|2|1|0.07|64|4|128|[512]
H100|attn|512|1|2|2|0.07|64|4|128|[512]
H100|attn|512|1|2|4|0.06|64|4|128|[512]
H100|attn|512|1|2|8|0.06|64|4|128|[512]
H100|attn|512|1|4|1|0.07|64|4|128|[512]
H100|attn|512|1|4|2|0.07|64|4|128|[512]
H100|attn|512|1|4|4|0.06|64|4|128|[512]
H100|attn|512|1|4|8|0.06|64|4|128|[512]
H100|attn|512|1|8|1|0.07|64|4|128|[512]
H100|attn|512|1|8|2|0.06|64|4|128|[512]
H100|attn|512|1|8|4|0.06|64|4|128|[512]
H100|attn|512|1|8|8|0.07|64|4|128|[512]
H100|attn|1024|1|1|1|0.16|64|4|128|[1 * K]
H100|attn|1024|1|1|2|0.09|64|4|128|[1 * K]
H100|attn|1024|1|1|4|0.07|64|4|128|[1 * K]
H100|attn|1024|1|1|8|0.07|64|4|128|[1 * K]
H100|attn|1024|1|2|1|0.10|64|4|128|[1 * K]
H100|attn|1024|1|2|2|0.08|64|4|128|[1 * K]
H100|attn|1024|1|2|4|0.07|64|4|128|[1 * K]
H100|attn|1024|1|2|8|0.07|64|4|128|[1 * K]
H100|attn|1024|1|4|1|0.08|64|4|128|[1 * K]
H100|attn|1024|1|4|2|0.08|64|4|128|[1 * K]
H100|attn|1024|1|4|4|0.07|64|4|128|[1 * K]
H100|attn|1024|1|4|8|0.07|64|4|128|[1 * K]
H100|attn|1024|1|8|1|0.08|64|4|128|[1 * K]
H100|attn|1024|1|8|2|0.07|64|4|128|[1 * K]
H100|attn|1024|1|8|4|0.07|64|4|128|[1 * K]
H100|attn|1024|1|8|8|0.07|64|4|128|[1 * K]
H100|attn|2048|1|1|1|0.31|64|4|128|[2 * K]
H100|attn|2048|1|1|2|0.19|64|4|128|[2 * K]
H100|attn|2048|1|1|4|0.11|64|4|128|[2 * K]
H100|attn|2048|1|1|8|0.08|64|4|128|[2 * K]
H100|attn|2048|1|2|1|0.21|64|4|128|[2 * K]
H100|attn|2048|1|2|2|0.12|64|4|128|[2 * K]
H100|attn|2048|1|2|4|0.09|64|4|128|[2 * K]
H100|attn|2048|1|2|8|0.08|64|4|128|[2 * K]
H100|attn|2048|1|4|1|0.15|64|4|128|[2 * K]
H100|attn|2048|1|4|2|0.10|64|4|128|[2 * K]
H100|attn|2048|1|4|4|0.09|64|4|128|[2 * K]
H100|attn|2048|1|4|8|0.08|64|4|128|[2 * K]
H100|attn|2048|1|8|1|0.11|64|4|128|[2 * K]
H100|attn|2048|1|8|2|0.09|64|4|128|[2 * K]
H100|attn|2048|1|8|4|0.09|64|4|128|[2 * K]
H100|attn|2048|1|8|8|0.08|64|4|128|[2 * K]
H100|attn|4096|1|1|1|0.92|64|4|128|[4 * K]
H100|attn|4096|1|1|2|0.51|64|4|128|[4 * K]
H100|attn|4096|1|1|4|0.28|64|4|128|[4 * K]
H100|attn|4096|1|1|8|0.16|64|4|128|[4 * K]
H100|attn|4096|1|2|1|0.53|64|4|128|[4 * K]
H100|attn|4096|1|2|2|0.31|64|4|128|[4 * K]
H100|attn|4096|1|2|4|0.17|64|4|128|[4 * K]
H100|attn|4096|1|2|8|0.11|64|4|128|[4 * K]
H100|attn|4096|1|4|1|0.35|64|4|128|[4 * K]
H100|attn|4096|1|4|2|0.19|64|4|128|[4 * K]
H100|attn|4096|1|4|4|0.12|64|4|128|[4 * K]
H100|attn|4096|1|4|8|0.11|64|4|128|[4 * K]
H100|attn|4096|1|8|1|0.24|64|4|128|[4 * K]
H100|attn|4096|1|8|2|0.14|64|4|128|[4 * K]
H100|attn|4096|1|8|4|0.12|64|4|128|[4 * K]
H100|attn|4096|1|8|8|0.12|64|4|128|[4 * K]
H100|attn|8192|1|1|1|3.13|64|4|128|[8 * K]
H100|attn|8192|1|1|2|1.63|64|4|128|[8 * K]
H100|attn|8192|1|1|4|0.88|64|4|128|[8 * K]
H100|attn|8192|1|1|8|0.47|64|4|128|[8 * K]
H100|attn|8192|1|2|1|1.71|64|4|128|[8 * K]
H100|attn|8192|1|2|2|0.93|64|4|128|[8 * K]
H100|attn|8192|1|2|4|0.51|64|4|128|[8 * K]
H100|attn|8192|1|2|8|0.27|64|4|128|[8 * K]
H100|attn|8192|1|4|1|0.98|64|4|128|[8 * K]
H100|attn|8192|1|4|2|0.56|64|4|128|[8 * K]
H100|attn|8192|1|4|4|0.29|64|4|128|[8 * K]
H100|attn|8192|1|4|8|0.18|64|4|128|[8 * K]
H100|attn|8192|1|8|1|0.63|64|4|128|[8 * K]
H100|attn|8192|1|8|2|0.34|64|4|128|[8 * K]
H100|attn|8192|1|8|4|0.20|64|4|128|[8 * K]
H100|attn|8192|1|8|8|0.18|64|4|128|[8 * K]
H100|attn|16384|1|1|1|11.85|64|4|128|[16 * K]
H100|attn|16384|1|1|2|5.96|64|4|128|[16 * K]
H100|attn|16384|1|1|4|3.05|64|4|128|[16 * K]
H100|attn|16384|1|1|8|1.59|64|4|128|[16 * K]
H100|attn|16384|1|2|1|6.06|64|4|128|[16 * K]
H100|attn|16384|1|2|2|3.16|64|4|128|[16 * K]
H100|attn|16384|1|2|4|1.69|64|4|128|[16 * K]
H100|attn|16384|1|2|8|0.86|64|4|128|[16 * K]
H100|attn|16384|1|4|1|3.26|64|4|128|[16 * K]
H100|attn|16384|1|4|2|1.76|64|4|128|[16 * K]
H100|attn|16384|1|4|4|0.93|64|4|128|[16 * K]
H100|attn|16384|1|4|8|0.48|64|4|128|[16 * K]
H100|attn|16384|1|8|1|1.87|64|4|128|[16 * K]
H100|attn|16384|1|8|2|1.05|64|4|128|[16 * K]
H100|attn|16384|1|8|4|0.52|64|4|128|[16 * K]
H100|attn|16384|1|8|8|0.31|64|4|128|[16 * K]
H100|attn|32768|1|1|1|46.51|64|4|128|[32 * K]
H100|attn|32768|1|1|2|23.49|64|4|128|[32 * K]
H100|attn|32768|1|1|4|11.83|64|4|128|[32 * K]
H100|attn|32768|1|1|8|5.93|64|4|128|[32 * K]
H100|attn|32768|1|2|1|23.59|64|4|128|[32 * K]
H100|attn|32768|1|2|2|11.82|64|4|128|[32 * K]
H100|attn|32768|1|2|4|6.03|64|4|128|[32 * K]
H100|attn|32768|1|2|8|3.09|64|4|128|[32 * K]
H100|attn|32768|1|4|1|12.13|64|4|128|[32 * K]
H100|attn|32768|1|4|2|6.17|64|4|128|[32 * K]
H100|attn|32768|1|4|4|3.21|64|4|128|[32 * K]
H100|attn|32768|1|4|8|1.65|64|4|128|[32 * K]
H100|attn|32768|1|8|1|6.37|64|4|128|[32 * K]
H100|attn|32768|1|8|2|3.42|64|4|128|[32 * K]
H100|attn|32768|1|8|4|1.82|64|4|128|[32 * K]
H100|attn|32768|1|8|8|0.89|64|4|128|[32 * K]
H100|attn|65536|1|1|1|195.51|64|4|128|[64 * K]
H100|attn|65536|1|1|2|97.41|64|4|128|[64 * K]
H100|attn|65536|1|1|4|47.17|64|4|128|[64 * K]
H100|attn|65536|1|1|8|23.56|64|4|128|[64 * K]
H100|attn|65536|1|2|1|98.18|64|4|128|[64 * K]
H100|attn|65536|1|2|2|47.03|64|4|128|[64 * K]
H100|attn|65536|1|2|4|23.83|64|4|128|[64 * K]
H100|attn|65536|1|2|8|11.90|64|4|128|[64 * K]
H100|attn|65536|1|4|1|47.74|64|4|128|[64 * K]
H100|attn|65536|1|4|2|23.90|64|4|128|[64 * K]
H100|attn|65536|1|4|4|12.22|64|4|128|[64 * K]
H100|attn|65536|1|4|8|6.09|64|4|128|[64 * K]
H100|attn|65536|1|8|1|24.21|64|4|128|[64 * K]
H100|attn|65536|1|8|2|12.33|64|4|128|[64 * K]
H100|attn|65536|1|8|4|6.39|64|4|128|[64 * K]
H100|attn|65536|1|8|8|3.23|64|4|128|[64 * K]
H100|attn|49152|1|1|1|111.39|64|4|128|[48*K]
H100|attn|49152|1|1|2|54.38|64|4|128|[48*K]
H100|attn|49152|1|1|4|27.39|64|4|128|[48*K]
H100|attn|49152|1|1|8|13.68|64|4|128|[48*K]
H100|attn|49152|1|2|1|55.79|64|4|128|[48*K]
H100|attn|49152|1|2|2|27.37|64|4|128|[48*K]
H100|attn|49152|1|2|4|14.15|64|4|128|[48*K]
H100|attn|49152|1|2|8|6.96|64|4|128|[48*K]
H100|attn|49152|1|4|1|27.47|64|4|128|[48*K]
H100|attn|49152|1|4|2|13.90|64|4|128|[48*K]
H100|attn|49152|1|4|4|7.03|64|4|128|[48*K]
H100|attn|49152|1|4|8|3.52|64|4|128|[48*K]
H100|attn|49152|1|8|1|14.06|64|4|128|[48*K]
H100|attn|49152|1|8|2|7.23|64|4|128|[48*K]
H100|attn|49152|1|8|4|3.66|64|4|128|[48*K]
H100|attn|49152|1|8|8|2.26|64|4|128|[48*K]
H100|attn|98304|1|1|1|463.50|64|4|128|[96*K]
H100|attn|98304|1|1|2|227.86|64|4|128|[96*K]
H100|attn|98304|1|1|4|114.07|64|4|128|[96*K]
H100|attn|98304|1|1|8|55.54|64|4|128|[96*K]
H100|attn|98304|1|2|1|232.67|64|4|128|[96*K]
H100|attn|98304|1|2|2|115.53|64|4|128|[96*K]
H100|attn|98304|1|2|4|56.88|64|4|128|[96*K]
H100|attn|98304|1|2|8|27.88|64|4|128|[96*K]
H100|attn|98304|1|4|1|116.77|64|4|128|[96*K]
H100|attn|98304|1|4|2|56.39|64|4|128|[96*K]
H100|attn|98304|1|4|4|28.02|64|4|128|[96*K]
H100|attn|98304|1|4|8|14.38|64|4|128|[96*K]
H100|attn|98304|1|8|1|58.44|64|4|128|[96*K]
H100|attn|98304|1|8|2|28.28|64|4|128|[96*K]
H100|attn|98304|1|8|4|14.51|64|4|128|[96*K]
H100|attn|98304|1|8|8|6.94|64|4|128|[96*K]
H100|attn|131072|1|1|1|842.39|64|4|128|[128*K]
H100|attn|131072|1|1|2|417.10|64|4|128|[128*K]
H100|attn|131072|1|1|4|207.66|64|4|128|[128*K]
H100|attn|131072|1|1|8|103.40|64|4|128|[128*K]
H100|attn|131072|1|2|1|422.24|64|4|128|[128*K]
H100|attn|131072|1|2|2|208.96|64|4|128|[128*K]
H100|attn|131072|1|2|4|104.16|64|4|128|[128*K]
H100|attn|131072|1|2|8|50.74|64|4|128|[128*K]
H100|attn|131072|1|4|1|212.28|64|4|128|[128*K]
H100|attn|131072|1|4|2|104.80|64|4|128|[128*K]
H100|attn|131072|1|4|4|51.52|64|4|128|[128*K]
H100|attn|131072|1|4|8|25.25|64|4|128|[128*K]
H100|attn|131072|1|8|1|107.35|64|4|128|[128*K]
H100|attn|131072|1|8|2|51.82|64|4|128|[128*K]
H100|attn|131072|1|8|4|25.97|64|4|128|[128*K]
H100|attn|131072|1|8|8|12.99|64|4|128|[128*K]
