gpu_type,world_size,op,nelem,dtype,latency(ms),throughput(nelem_per_ms)
H100,2,allgather,32,fp16,0.12,274.8
H100,2,allgather,64,fp16,0.14,457.0
H100,2,allgather,128,fp16,0.11,1163.8
H100,2,allgather,256,fp16,0.13,2043.1
H100,2,allgather,512,fp16,0.12,4328.8
H100,2,allgather,1024,fp16,0.10,9992.5
H100,2,allgather,2048,fp16,0.10,21159.8
H100,2,allgather,4096,fp16,0.10,41864.3
H100,2,allgather,8192,fp16,0.09,94671.1
H100,2,allgather,16384,fp16,0.10,164392.4
H100,2,allgather,32768,fp16,0.10,329313.4
H100,2,allgather,65536,fp16,0.09,691051.4
H100,2,allgather,131072,fp16,0.25,523343.5
H100,2,allgather,262144,fp16,0.27,980713.8
H100,2,allgather,524288,fp16,0.25,2093293.7
H100,2,allgather,1048576,fp16,0.19,5497064.1
H100,2,allgather,2097152,fp16,0.25,8548917.3
H100,2,allgather,4194304,fp16,0.33,12822288.4
H100,2,allgather,8388608,fp16,0.37,22714149.5
H100,2,allgather,16777216,fp16,0.38,44280707.7
H100,2,allgather,33554432,fp16,0.64,52623771.6
H100,2,allgather,67108864,fp16,0.87,76971287.3
H100,2,allgather,134217728,fp16,1.53,87945836.5
H100,2,allgather,268435456,fp16,2.84,94466305.1
H100,2,allgather,536870912,fp16,5.38,99721568.5
H100,2,allgather,1073741824,fp16,10.37,103519032.0
H100,2,allgather,2147483648,fp16,45.10,47615839.2
H100,2,allgather,4294967296,fp16,145.34,29550749.3
H100,2,allgather,8589934592,fp16,314.83,27284049.2
