gpu_type,world_size,op,nelem,dtype,latency(ms),throughput(nelem_per_ms)
H100,2,allreduce,32,fp16,0.07,431.8
H100,2,allreduce,64,fp16,0.08,820.5
H100,2,allreduce,128,fp16,0.08,1693.2
H100,2,allreduce,256,fp16,0.09,2935.6
H100,2,allreduce,512,fp16,0.06,9014.6
H100,2,allreduce,1024,fp16,0.05,22111.7
H100,2,allreduce,2048,fp16,0.04,49855.9
H100,2,allreduce,4096,fp16,0.04,105506.1
H100,2,allreduce,8192,fp16,0.04,198004.5
H100,2,allreduce,16384,fp16,0.04,412072.4
H100,2,allreduce,32768,fp16,0.04,799750.1
H100,2,allreduce,65536,fp16,0.04,1523923.0
H100,2,allreduce,131072,fp16,0.04,3049207.2
H100,2,allreduce,262144,fp16,0.04,6190584.0
H100,2,allreduce,524288,fp16,0.05,10922666.9
H100,2,allreduce,1048576,fp16,0.06,18206466.8
H100,2,allreduce,2097152,fp16,0.06,37028081.7
H100,2,allreduce,4194304,fp16,0.07,57216692.2
H100,2,allreduce,8388608,fp16,0.10,85400049.6
H100,2,allreduce,16777216,fp16,0.17,97505675.5
H100,2,allreduce,33554432,fp16,0.28,120300584.5
H100,2,allreduce,67108864,fp16,0.49,136796065.4
H100,2,allreduce,134217728,fp16,0.91,147548040.3
H100,2,allreduce,268435456,fp16,1.71,156701221.6
H100,2,allreduce,536870912,fp16,3.27,164015713.8
H100,2,allreduce,1073741824,fp16,6.32,170012409.7
H100,2,allreduce,2147483648,fp16,12.43,172818907.8
H100,2,allreduce,4294967296,fp16,24.94,172206789.6
H100,2,allreduce,8589934592,fp16,49.21,174555830.2
H100,2,allreduce,17179869184,fp16,98.21,174933910.3
