cp,head_dim,nhead,tokens,fwd,bwd
1,128,4,1024,0.86,1.29
1,128,4,2048,0.7,1.17
1,128,4,3072,0.63,0.76
1,128,4,4096,0.82,1.12
1,128,4,6144,0.95,1.47
1,128,4,8192,1.33,1.91
1,128,4,10240,1.49,2.53
1,128,4,12288,1.68,3.42
1,128,4,14336,2.15,3.93
1,128,4,16384,2.59,4.65
1,128,4,20480,3.73,7.19
1,128,4,24576,4.41,9.4
1,128,4,28672,5.47,12.04
1,128,4,32768,7.16,15.59
1,128,4,49152,13.41,33.02
1,128,4,65536,22.02,57.24
1,128,4,98304,46.11,127.43
1,128,4,131072,81.75,224.88
1,128,8,1024,0.68,1.16
1,128,8,2048,0.75,1.01
1,128,8,3072,0.77,1.09
1,128,8,4096,1.08,1.35
1,128,8,6144,1.33,2.41
1,128,8,8192,1.79,3.14
1,128,8,10240,2.24,4.26
1,128,8,12288,2.88,6.06
1,128,8,14336,3.28,7.08
1,128,8,16384,4.01,8.73
1,128,8,20480,5.56,13.04
1,128,8,24576,7.3,17.74
1,128,8,28672,9.45,23.14
1,128,8,32768,11.86,30.21
1,128,8,49152,24.24,64.77
1,128,8,65536,41.67,114.54
1,128,8,98304,90.71,253.23
1,128,8,131072,160.32,446.28
1,128,16,1024,0.75,1.06
1,128,16,2048,0.95,1.15
1,128,16,3072,1.15,1.75
1,128,16,4096,1.4,2.05
1,128,16,6144,1.87,3.25
1,128,16,8192,2.71,5.65
1,128,16,10240,3.29,7.41
1,128,16,12288,4.27,9.98
1,128,16,14336,5.33,12.93
1,128,16,16384,6.58,16.47
1,128,16,20480,9.5,24.75
1,128,16,24576,12.98,34.45
1,128,16,28672,17.02,45.43
1,128,16,32768,21.95,58.84
1,128,16,49152,47.99,129.27
1,128,16,65536,82.42,227.08
1,128,16,98304,179.73,502.68
1,128,16,131072,319.05,885.82
1,128,32,1024,0.89,0.93
1,128,32,2048,1.14,1.43
1,128,32,3072,1.54,2.33
1,128,32,4096,1.92,3.62
1,128,32,6144,2.76,5.94
1,128,32,8192,3.97,9.51
1,128,32,10240,5.57,13.82
1,128,32,12288,7.37,18.92
1,128,32,14336,9.52,24.76
1,128,32,16384,12.15,31.4
1,128,32,20480,17.79,47.8
1,128,32,24576,24.56,67.13
1,128,32,28672,32.73,90.21
1,128,32,32768,41.96,116.91
1,128,32,49152,91.21,257.08
1,128,32,65536,160.36,451.7
1,128,32,98304,357.95,1001.08
1,128,32,131072,634.5,1764.44
1,128,64,1024,1.09,1.11
1,128,64,2048,1.57,2.26
1,128,64,3072,1.99,3.7
1,128,64,4096,2.65,5.77
1,128,64,6144,4.59,10.82
1,128,64,8192,7.27,17.57
1,128,64,10240,10.28,26.03
1,128,64,12288,13.96,36.16
1,128,64,14336,18.22,48.01
1,128,64,16384,23.07,61.58
1,128,64,20480,34.51,94.41
1,128,64,24576,48.14,133.94
1,128,64,28672,64.36,180.17
1,128,64,32768,83.11,232.96
1,128,64,65536,320.29,899.69
1,128,64,131072,1357.14,3528.06
2,128,4,1024,0.92,1.25
2,128,4,2048,0.8,1.52
2,128,4,3072,0.82,1.15
2,128,4,4096,0.86,1.15
2,128,4,6144,1.09,1.09
2,128,4,8192,1.04,1.58
2,128,4,10240,1.46,1.73
2,128,4,12288,1.45,2.1
2,128,4,14336,2.08,2.52
2,128,4,16384,2.26,3.19
2,128,4,20480,2.44,4.33
2,128,4,24576,2.86,5.88
2,128,4,28672,3.78,7.11
2,128,4,32768,4.33,8.96
2,128,4,49152,7.76,17.85
2,128,4,65536,11.99,30.16
2,128,4,98304,25.69,64.78
2,128,4,131072,42.02,114.3
2,128,8,1024,0.79,1.29
2,128,8,2048,0.83,1.27
2,128,8,3072,0.83,1.12
2,128,8,4096,1.0,1.3
2,128,8,6144,1.2,1.54
2,128,8,8192,1.77,2.12
2,128,8,10240,1.92,3.0
2,128,8,12288,1.99,3.99
2,128,8,14336,2.49,4.36
2,128,8,16384,2.64,5.36
2,128,8,20480,3.86,7.48
2,128,8,24576,4.59,10.12
2,128,8,28672,5.87,13.11
2,128,8,32768,6.84,16.48
2,128,8,49152,13.67,34.06
2,128,8,65536,22.11,58.81
2,128,8,98304,47.41,129.57
2,128,8,131072,83.16,226.63
2,128,16,1024,0.8,1.25
2,128,16,2048,0.8,1.42
2,128,16,3072,1.18,1.5
2,128,16,4096,1.47,1.64
2,128,16,6144,1.69,3.03
2,128,16,8192,2.08,3.7
2,128,16,10240,2.8,5.0
2,128,16,12288,3.13,6.57
2,128,16,14336,3.66,7.47
2,128,16,16384,4.34,9.55
2,128,16,20480,5.68,13.62
2,128,16,24576,7.59,18.5
2,128,16,28672,9.76,24.44
2,128,16,32768,12.07,31.07
2,128,16,49152,24.68,66.63
2,128,16,65536,42.2,115.98
2,128,16,98304,92.87,256.66
2,128,16,131072,162.35,453.2
2,128,32,1024,0.81,1.42
2,128,32,2048,1.35,1.65
2,128,32,3072,1.42,2.3
2,128,32,4096,1.6,2.81
2,128,32,6144,2.35,4.1
2,128,32,8192,3.04,5.91
2,128,32,10240,3.67,8.21
2,128,32,12288,4.73,10.82
2,128,32,14336,5.87,13.76
2,128,32,16384,7.11,17.49
2,128,32,20480,10.01,25.77
2,128,32,24576,13.68,35.72
2,128,32,28672,17.89,47.31
2,128,32,32768,22.79,60.4
2,128,32,49152,47.87,132.71
2,128,32,65536,82.97,231.74
2,128,32,98304,184.33,508.32
2,128,32,131072,323.71,898.85
2,128,64,1024,0.65,0.82
2,128,64,2048,0.92,1.38
2,128,64,3072,1.32,2.21
2,128,64,4096,1.8,3.38
2,128,64,6144,3.28,6.13
2,128,64,8192,4.74,9.92
2,128,64,10240,6.38,14.41
2,128,64,12288,8.31,19.89
2,128,64,14336,29.06,52.06
2,128,64,16384,36.82,53.71
2,128,64,20480,25.6,69.67
2,128,64,24576,37.64,76.46
2,128,64,28672,46.37,101.56
2,128,64,32768,44.49,120.97
2,128,64,65536,166.65,465.38
2,128,64,131072,648.11,1782.5
4,128,4,1024,1.01,1.45
4,128,4,2048,0.91,1.32
4,128,4,3072,1.28,1.35
4,128,4,4096,1.3,1.27
4,128,4,6144,0.89,1.36
4,128,4,8192,1.27,1.44
4,128,4,10240,1.42,1.84
