gpu,cp,head_dim,nhead,tokens,dtype,fwd(us),bwd(us)
A100-SXM-80GB,1,128,4,1024,half,860.0,1290.0
A100-SXM-80GB,1,128,4,2048,half,700.0,1170.0
A100-SXM-80GB,1,128,4,3072,half,630.0,760.0
A100-SXM-80GB,1,128,4,4096,half,820.0,1120.0
A100-SXM-80GB,1,128,4,6144,half,950.0,1470.0
A100-SXM-80GB,1,128,4,8192,half,1330.0,1910.0
A100-SXM-80GB,1,128,4,10240,half,1490.0,2530.0
A100-SXM-80GB,1,128,4,12288,half,1680.0,3420.0
A100-SXM-80GB,1,128,4,14336,half,2150.0,3930.0
A100-SXM-80GB,1,128,4,16384,half,2590.0,4650.0
A100-SXM-80GB,1,128,4,20480,half,3730.0,7190.0
A100-SXM-80GB,1,128,4,24576,half,4410.0,9400.0
A100-SXM-80GB,1,128,4,28672,half,5470.0,12040.0
A100-SXM-80GB,1,128,4,32768,half,7160.0,15590.0
A100-SXM-80GB,1,128,4,49152,half,13410.0,33020.0
A100-SXM-80GB,1,128,4,65536,half,22020.0,57240.0
A100-SXM-80GB,1,128,4,98304,half,46110.0,127430.0
A100-SXM-80GB,1,128,4,131072,half,81750.0,224880.0
A100-SXM-80GB,1,128,8,1024,half,680.0,1160.0
A100-SXM-80GB,1,128,8,2048,half,750.0,1010.0
A100-SXM-80GB,1,128,8,3072,half,770.0,1090.0
A100-SXM-80GB,1,128,8,4096,half,1080.0,1350.0
A100-SXM-80GB,1,128,8,6144,half,1330.0,2410.0
A100-SXM-80GB,1,128,8,8192,half,1790.0,3140.0
A100-SXM-80GB,1,128,8,10240,half,2240.0,4260.0
A100-SXM-80GB,1,128,8,12288,half,2880.0,6060.0
A100-SXM-80GB,1,128,8,14336,half,3280.0,7080.0
A100-SXM-80GB,1,128,8,16384,half,4010.0,8730.0
A100-SXM-80GB,1,128,8,20480,half,5560.0,13040.0
A100-SXM-80GB,1,128,8,24576,half,7300.0,17740.0
A100-SXM-80GB,1,128,8,28672,half,9450.0,23140.0
A100-SXM-80GB,1,128,8,32768,half,11860.0,30210.0
A100-SXM-80GB,1,128,8,49152,half,24240.0,64769.99999999999
A100-SXM-80GB,1,128,8,65536,half,41670.0,114540.0
A100-SXM-80GB,1,128,8,98304,half,90710.0,253230.0
A100-SXM-80GB,1,128,8,131072,half,160320.0,446280.0
A100-SXM-80GB,1,128,16,1024,half,750.0,1060.0
A100-SXM-80GB,1,128,16,2048,half,950.0,1150.0
A100-SXM-80GB,1,128,16,3072,half,1150.0,1750.0
A100-SXM-80GB,1,128,16,4096,half,1400.0,2050.0
A100-SXM-80GB,1,128,16,6144,half,1870.0,3250.0
A100-SXM-80GB,1,128,16,8192,half,2710.0,5650.0
A100-SXM-80GB,1,128,16,10240,half,3290.0,7410.0
A100-SXM-80GB,1,128,16,12288,half,4270.0,9980.0
A100-SXM-80GB,1,128,16,14336,half,5330.0,12930.0
A100-SXM-80GB,1,128,16,16384,half,6580.0,16470.0
A100-SXM-80GB,1,128,16,20480,half,9500.0,24750.0
A100-SXM-80GB,1,128,16,24576,half,12980.0,34450.0
A100-SXM-80GB,1,128,16,28672,half,17020.0,45430.0
A100-SXM-80GB,1,128,16,32768,half,21950.0,58840.0
A100-SXM-80GB,1,128,16,49152,half,47990.0,129270.00000000001
A100-SXM-80GB,1,128,16,65536,half,82420.0,227080.0
A100-SXM-80GB,1,128,16,98304,half,179730.0,502680.0
A100-SXM-80GB,1,128,16,131072,half,319050.0,885820.0
A100-SXM-80GB,1,128,32,1024,half,890.0,930.0
A100-SXM-80GB,1,128,32,2048,half,1140.0,1430.0
A100-SXM-80GB,1,128,32,3072,half,1540.0,2330.0
A100-SXM-80GB,1,128,32,4096,half,1920.0,3620.0
A100-SXM-80GB,1,128,32,6144,half,2760.0,5940.0
